Laufende Nummer: Bezeichnung, Name des Museums, Anschrift des Museums, Kosten
43: A Woman Seated at a Window, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 1683
43: A Woman Seated at a Window, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 1683
53: Hercules and the Erymanthian boar, Musée du Louvre, Rue de Rivoli/75001 Paris/Frankreich, 3449
27: Portrait of a Man, Musée du Louvre, Rue de Rivoli/75001 Paris/Frankreich, 1677
38: Two Children Teasing a Cat, Musée du Louvre, Rue de Rivoli/75001 Paris/Frankreich, 1114
38: Two Children Teasing a Cat, Musée du Louvre, Rue de Rivoli/75001 Paris/Frankreich, 1114
68: Spanish Dancer (Second State), National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 4256
6: The Garden of the Tuileries on a Winter Afternoon, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 1935
7: Still Life with Oysters a Silver Tazza and Glassware, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 2842
20: The Boulevard Montmartre on a Winter Morning, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 4994
11: A Brazilian Landscape, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 2449
54: Horse Trotting the Feet Not Touching the Ground, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 2981
29: The Dance Class, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 3275
37: A Forest at Dawn with a Deer Hunt, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 1406
40: A Woodland Road with Travelers, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 4519
29: The Dance Class, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 3275
37: A Forest at Dawn with a Deer Hunt, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 1406
40: A Woodland Road with Travelers, National Gallery, Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich, 4519
3: Young Woman with a Water Pitcher, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 1385
44: The Card Players, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 1105
64: The Little Fourteen-Year-Old Dancer, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 4261
21: Portrait of a Woman and an Enslaved Servant, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 1648
18: Christ Blessing Surrounded by a Donor Family, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 1059
52: Baptism of Christ, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 3002
55: Side table (one of a pair), Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 3202
74: Christ and the two thieves crucified, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 3037
75: Pope Innocent X, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2176
84: Spring (one of a set of four), Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2148
42: Study for a Portrait of a Woman, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2420
50: Woman Playing a Guitar, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2342
42: Study for a Portrait of a Woman, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2420
50: Woman Playing a Guitar, Rijksmuseum Amsterdam, Museumstraat 1/1071 XX Amsterdam/Niederlande, 2342
2: Woman with a Parrot, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 1248
9: A Maid Asleep, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 4641
51: Pair of miniature tapersticks, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 2325
4: A Matador, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 1917
48: A Road in Louveciennes, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 4382
48: A Road in Louveciennes, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 4382
65: Francesco I de' Medici grand duke of Tuscany, The British Museum, Great Russell St/London WC1B 3DG/Vereinigtes Königreich, 2488
1: The Apotheosis of the Spanish Monarchy, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4000
66: A Hypocrite and a Slanderer, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 3475
10: A Woman with a Dog, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 3214
13: A Lock a Column and a Church beside a Lagoon, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 1857
19: The Christ Child with Saints Boris and Gleb, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4809
24: Christ before Pilate; The Resurrection, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 3522
87: Christ at the Column, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 1071
87: Christ at the Column, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 1071
12: The Horse Fair, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 3801
30: The Rehearsal of the Ballet Onstage, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4656
46: A Woman Reading, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4363
47: A Shepherd and a Rider on a Country Lane, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 2507
30: The Rehearsal of the Ballet Onstage, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4656
46: A Woman Reading, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 4363
47: A Shepherd and a Rider on a Country Lane, Uffizien, Piazzale degli Uffizi 6/50122 Firenze FI/Italien, 2507
Gesamtkosten:257710
